Country Name,Country Code,Indicator Name,Indicator Code,2000,2005,2010,2015
Lower middle income,LMC,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,81.2648010253906,87.0896072387695,90.0078735351563,90.2624969482422
Lower middle income,LMC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,67.3315963745117,73.9100799560547,73.9100799560547,
Lower middle income,LMC,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,58.2579307556152,66.8440856933594,66.8440780639648,
Lower middle income,LMC,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,76.3044891357422,80.9263763427734,80.9263763427734,
Middle East & North Africa,MEA,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,84.5818634033203,91.694450378418,95.0561294555664,
Middle East & North Africa,MEA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,70.4031524658203,80.7500152587891,80.7500152587891,
Middle East & North Africa,MEA,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,60.6075172424316,73.6813278198242,73.6813278198242,
Middle East & North Africa,MEA,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,79.6291122436523,87.2885437011719,87.2885437011719,
Middle East & North Africa (excluding high income),MNA,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,85.2658081054688,92.6737899780273,95.4378280639648,
Middle East & North Africa (excluding high income),MNA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,68.0235748291016,78.4388122558594,78.4388122558594,
Middle East & North Africa (excluding high income),MNA,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,57.9519424438477,71.1741943359375,71.1741943359375,
Middle East & North Africa (excluding high income),MNA,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,77.948112487793,85.5463562011719,85.5463562011719,
Middle income,MIC,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,87.2571334838867,90.7570495605469,92.222801208496,92.3483123779297
Middle income,MIC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,79.7007369995117,84.3886795043945,84.3886795043945,
Middle income,MIC,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,73.7823791503906,80.0481872558594,80.0481872558594,
